Availability;Caption;ClassGuid;CompatibleID;ConfigManagerErrorCode;ConfigManagerUserConfig;CreationClassName;Description;DeviceID;ErrorCleared;ErrorDescription;HardwareID;InstallDate;LastErrorCode;Manufacturer;Name;PNPClass;PNPDeviceID;PowerManagementCapabilities;PowerManagementSupported;Present;Service;Status;StatusInfo;SystemCreationClassName;SystemName
"";Microsoft Windows-Verwaltungsschnittstelle für ACPI;{4d36e97d-e325-11ce-bfc1-08002be10318};"";0;False;Win32_PnPEntity;Microsoft Windows-Verwaltungsschnittstelle für ACPI;ACPI\PNP0C14\TBFP;"";"";{ACPI\VEN_PNP&DEV_0C14, ACPI\PNP0C14, *PNP0C14};"";"";Microsoft;Microsoft Windows-Verwaltungsschnittstelle für ACPI;System;ACPI\PNP0C14\TBFP;"";"";True;WmiAcpi;OK;"";Win32_ComputerSystem;NUC
"";Microsoft XPS Document Writer;{1ed2bbf9-11f0-4084-b21f-ad83a8e6dcdc};{GenPrintQueue, SWD\GenericRaw, SWD\Generic};0;False;Win32_PnPEntity;Lokale Druckwarteschlange;SWD\PRINTENUM\{11FE872D-4901-4AB1-9162-2F03A582F318};"";"";{PRINTENUM\{0f4130dd-19c7-7ab6-99a1-980f03b2ee4e}, PRINTENUM\LocalPrintQueue, {0f4130dd-19c7-7ab6-99a1-980f03b2ee4e}};"";"";Microsoft;Microsoft XPS Document Writer;PrintQueue;SWD\PRINTENUM\{11FE872D-4901-4AB1-9162-2F03A582F318};"";"";True;"";OK;"";Win32_ComputerSystem;NUC
"";Intel(R) USB 3.1 eXtensible-Hostcontroller – 1.10 (Microsoft);{36fc9e60-c465-11cf-8056-444553540000};{PCI\VEN_8086&DEV_15DB&REV_02, PCI\VEN_8086&DEV_15DB, PCI\VEN_8086&CC_0C0330, PCI\VEN_8086&CC_0C03, PCI\VEN_8086, PCI\CC_0C0330&DT_0, PCI\CC_0C0330, PCI\CC_0C03&DT_0, PCI\CC_0C03};0;False;Win32_PnPEntity;USB-xHCI-kompatibler Hostcontroller;PCI\VEN_8086&DEV_15DB&SUBSYS_20748086&REV_02\24F5D48923B3020000;"";"";{PCI\VEN_8086&DEV_15DB&SUBSYS_20748086&REV_02, PCI\VEN_8086&DEV_15DB&SUBSYS_20748086, PCI\VEN_8086&DEV_15DB&CC_0C0330, PCI\VEN_8086&DEV_15DB&CC_0C03};"";"";Generischer USB-xHCI-Hostcontroller;Intel(R) USB 3.1 eXtensible-Hostcontroller – 1.10 (Microsoft);USB;PCI\VEN_8086&DEV_15DB&SUBSYS_20748086&REV_02\24F5D48923B3020000;"";"";True;USBXHCI;OK;"";Win32_ComputerSystem;NUC
"";Hauptplatinenressourcen;{4d36e97d-e325-11ce-bfc1-08002be10318};{*PNP0C02};0;False;Win32_PnPEntity;Hauptplatinenressourcen;ACPI\INT3F0D\4&38663FB2&0;"";"";{ACPI\VEN_INT&DEV_3F0D, ACPI\INT3F0D, *INT3F0D};"";"";(Standardsystemgeräte);Hauptplatinenressourcen;System;ACPI\INT3F0D\4&38663FB2&0;"";"";True;"";OK;"";Win32_ComputerSystem;NUC
"";PnP-Softwaregeräte-Enumerator;{4d36e97d-e325-11ce-bfc1-08002be10318};"";0;False;Win32_PnPEntity;PnP-Softwaregeräte-Enumerator;ROOT\SYSTEM\0000;"";"";{ROOT\SWENUM};"";"";(Standardsystemgeräte);PnP-Softwaregeräte-Enumerator;System;ROOT\SYSTEM\0000;"";"";True;swenum;OK;"";Win32_ComputerSystem;NUC
"";Dell Peripheral Manager;{4d36e97d-e325-11ce-bfc1-08002be10318};"";0;False;Win32_PnPEntity;Dell Peripheral Manager;ROOT\SYSTEM\0001;"";"";{Root\DPMDriver};"";"";Dell Inc.;Dell Peripheral Manager;System;ROOT\SYSTEM\0001;"";"";True;DPMDriver;OK;"";Win32_ComputerSystem;NUC
"";Volume;{71a27cdd-812a-11d0-bec7-08002be2092f};"";0;False;Win32_PnPEntity;Volume;STORAGE\VOLUME\{135CA7D5-5B58-11EB-9543-806E6F6E6963}#0000000006500000;"";"";{STORAGE\Volume};"";"";Microsoft;Volume;Volume;STORAGE\VOLUME\{135CA7D5-5B58-11EB-9543-806E6F6E6963}#0000000006500000;"";"";True;volume;OK;"";Win32_ComputerSystem;NUC
"";USB-Eingabegerät;{745a17a0-74d3-11d0-b6fe-00a0c90f57da};{USB\Class_03&SubClass_01&Prot_01, USB\Class_03&SubClass_01, USB\Class_03};0;False;Win32_PnPEntity;USB-Eingabegerät;USB\VID_045E&PID_0750&MI_00\6&1DDD416B&0&0000;"";"";{USB\VID_045E&PID_0750&REV_0110&MI_00, USB\VID_045E&PID_0750&MI_00};"";"";(Standardsystemgeräte);USB-Eingabegerät;HIDClass;USB\VID_045E&PID_0750&MI_00\6&1DDD416B&0&0000;"";"";True;HidUsb;OK;"";Win32_ComputerSystem;NUC
"";HID-konforme Maus;{4d36e96f-e325-11ce-bfc1-08002be10318};"";0;False;Win32_PnPEntity;HID-konforme Maus;HID\VID_FFFF&PID_BACE&REV_0002&MI_00&COL05\3&258C3FBC&0&0004;"";"";{HID\VID_FFFF&PID_BACE&REV_0002&MI_00&Col05, HID\VID_FFFF&PID_BACE&MI_00&Col05, HID\VID_FFFF&UP:0001_U:0002, HID_DEVICE_SYSTEM_MOUSE, HID_DEVICE_UP:0001_U:0002, HID_DEVICE};"";"";Microsoft;HID-konforme Maus;Mouse;HID\VID_FFFF&PID_BACE&REV_0002&MI_00&COL05\3&258C3FBC&0&0004;"";"";True;mouhid;OK;"";Win32_ComputerSystem;NUC
"";Redirector-Bus für Remotedesktop-Gerät;{4d36e97d-e325-11ce-bfc1-08002be10318};"";0;False;Win32_PnPEntity;Redirector-Bus für Remotedesktop-Gerät;ROOT\RDPBUS\0000;"";"";{ROOT\RDPBUS};"";"";Microsoft;Redirector-Bus für Remotedesktop-Gerät;System;ROOT\RDPBUS\0000;"";"";True;rdpbus;OK;"";Win32_ComputerSystem;NUC
"";WAN Miniport (IPv6);{4d36e972-e325-11ce-bfc1-08002be10318};{SWD\Generic};0;False;Win32_PnPEntity;WAN-Miniport (IPv6);SWD\MSRRAS\MS_NDISWANIPV6;"";"";{ms_ndiswanipv6};"";"";Microsoft;WAN Miniport (IPv6);Net;SWD\MSRRAS\MS_NDISWANIPV6;"";"";True;NdisWan;OK;"";Win32_ComputerSystem;NUC
"";Realtek Audio Universal Service;{5c4c3332-344d-483c-8739-259e934c9cc8};{SWC\Generic, SWD\GenericRaw, SWD\Generic};0;False;Win32_PnPEntity;Realtek Audio Universal Service;SWD\DRIVERENUM\{C3A63EDD-2D27-4B66-B155-5E94B43D926A}#REALTEKSRV&5&1C39BCDF&0;"";"";{SWC\VEN_10EC&SID_0001};"";"";Realtek;Realtek Audio Universal Service;SoftwareComponent;SWD\DRIVERENUM\{C3A63EDD-2D27-4B66-B155-5E94B43D926A}#REALTEKSRV&5&1C39BCDF&0;"";"";True;"";OK;"";Win32_ComputerSystem;NUC
"";Realtek PCIE CardReader;{4d36e970-e325-11ce-bfc1-08002be10318};{PCI\VEN_10EC&DEV_522A&REV_01, PCI\VEN_10EC&DEV_522A, PCI\VEN_10EC&CC_FF0000, PCI\VEN_10EC&CC_FF00, PCI\VEN_10EC, PCI\CC_FF0000&DT_0, PCI\CC_FF0000, PCI\CC_FF00&DT_0, PCI\CC_FF00};0;False;Win32_PnPEntity;Realtek PCIE CardReader;PCI\VEN_10EC&DEV_522A&SUBSYS_20748086&REV_01\00000001004CE00000;"";"";{PCI\VEN_10EC&DEV_522A&SUBSYS_20748086&REV_01, PCI\VEN_10EC&DEV_522A&SUBSYS_20748086, PCI\VEN_10EC&DEV_522A&CC_FF0000, PCI\VEN_10EC&DEV_522A&CC_FF00};"";"";Realtek Semiconductor Corp.;Realtek PCIE CardReader;MTD;PCI\VEN_10EC&DEV_522A&SUBSYS_20748086&REV_01\00000001004CE00000;"";"";True;RTSPER;OK;"";Win32_ComputerSystem;NUC
"";Intel(R) Serial IO GPIO Host Controller - INT34BB;{4d36e97d-e325-11ce-bfc1-08002be10318};"";0;False;Win32_PnPEntity;Intel(R) Serial IO GPIO Host Controller - INT34BB;ACPI\INT34BB\3&11583659&0;"";"";{ACPI\VEN_INT&DEV_34BB, ACPI\INT34BB, *INT34BB};"";"";Intel Corporation;Intel(R) Serial IO GPIO Host Controller - INT34BB;System;ACPI\INT34BB\3&11583659&0;"";"";True;iaLPSS2_GPIO2;OK;"";Win32_ComputerSystem;NUC
"";WAN Miniport (L2TP);{4d36e972-e325-11ce-bfc1-08002be10318};{SWD\Generic};0;False;Win32_PnPEntity;WAN-Miniport (L2TP);SWD\MSRRAS\MS_L2TPMINIPORT;"";"";{ms_l2tpminiport};"";"";Microsoft;WAN Miniport (L2TP);Net;SWD\MSRRAS\MS_L2TPMINIPORT;"";"";True;Rasl2tp;OK;"";Win32_ComputerSystem;NUC
